Chrom,Start,End,REL_217	REL_607	
NC_012967,211343,213090	0.9656554	0.9009731
NC_012967,213111,213784	0.8811293	0.9806835
NC_012967,213790,213837	1.0000000	0.0000000
NC_012967,213838,216026	0.9446983	0.9753199
NC_012967,216044,218006	0.9367992	0.9220183
NC_012967,218011,218894	0.9558324	0.9048697
NC_012967,218922,220659	0.9579735	0.9815775
NC_012967,220667,222679	0.9850895	0.9428430
NC_012967,222680,222895	1.0000000	0.8837209
NC_012967,222905,226481	0.9832215	0.9365212
NC_012967,226493,226585	0.8260869	0.9239131
NC_012967,226588,226624	1.0000000	0.0000000
NC_012967,226885,226956	0.0000000	1.0000000
NC_012967,227028,227082	0.0000000	1.0000000
NC_012967,227150,227186	0.0000000	1.0000000
NC_012967,228394,228500	0.8679245	1.0000000
NC_012967,228503,228619	0.9051724	0.7413793
NC_012967,228622,228672	0.7200000	0.7400000
NC_012967,231839,231875	0.0000000	1.0000000
NC_012967,231877,233769	0.9614165	0.9508457
NC_012967,233770,235352	0.9348925	0.9677624
NC_012967,235353,239888	0.9596472	0.9867696
NC_012967,239889,241394	0.9747508	0.9401993
NC_012967,241917,242233	0.9462025	0.8386076
NC_012967,242238,242347	0.8348624	0.8807340
NC_012967,242361,242718	0.9859944	0.9859944
NC_012967,242719,243366	0.9088099	0.8856260
NC_012967,243387,245565	0.9141414	0.9710744
NC_012967,245569,245729	0.7562500	0.9375000
NC_012967,245735,246614	0.8509670	0.8964733
NC_012967,246623,246692	0.8550724	0.8260869
NC_012967,246711,248267	0.9530848	0.8624679
NC_012967,248268,249149	0.9091941	0.9761634
NC_012967,249160,254022	0.9337721	0.9424105
NC_012967,254026,254279	0.8142292	0.8300395
NC_012967,254288,255042	0.9350132	0.9164456
NC_012967,255043,255164	0.8595041	0.5702479
NC_012967,255166,261603	0.9739009	0.9529284
NC_012967,261613,262900	0.9696970	0.8601398
NC_012967,263423,263459	0.6666667	1.0000000
NC_012967,263464,263500	0.0000000	1.0000000
NC_012967,263501,264690	0.9537426	0.9486964
NC_012967,264694,265014	0.9750000	0.9906250
NC_012967,265035,265059	1.0000000	0.0000000
NC_012967,265070,267856	0.9554917	0.9239053
NC_012967,267857,268294	0.8489702	0.9473684
NC_012967,268302,268686	0.9583333	0.8932292
NC_012967,268697,269946	0.9191353	0.9463571
NC_012967,269956,270064	0.8518519	0.8703704
NC_012967,270087,270156	1.0000000	0.5217391
NC_012967,270162,270296	0.9328358	0.7611941
NC_012967,270300,270788	0.7786885	0.9856557
NC_012967,270791,270882	0.5714286	1.0000000
NC_012967,270890,271082	0.8072917	1.0000000
NC_012967,271092,278706	0.9563961	0.9114789
NC_012967,278712,278746	0.9705882	0.7058824
NC_012967,278749,279944	0.9715481	0.8995816
NC_012967,279947,285197	0.9691429	0.9740952
NC_012967,285203,287029	0.9682366	0.9288061
NC_012967,287046,292526	0.9587591	0.9620438
NC_012967,292527,295946	0.9786487	0.9508628
NC_012967,295948,300972	0.9703423	0.9307325
NC_012967,300986,311165	0.9631594	0.9374202
NC_012967,311167,312701	0.9667536	0.9517601
NC_012967,312705,313824	0.9142091	0.9472743
NC_012967,313825,316150	0.9703226	0.9277419
NC_012967,316173,316695	0.9770115	0.9885057
NC_012967,316705,318718	0.9463487	0.9518132
NC_012967,318721,318927	0.8834952	0.7815534
NC_012967,318946,320163	0.9400164	0.9153656
NC_012967,320174,324496	0.9534938	0.9236465
NC_012967,324505,332189	0.9569235	0.9236075
NC_012967,332190,332842	0.9693251	0.9969325
NC_012967,332844,332891	1.0000000	0.7659575
NC_012967,332893,337451	0.9767442	0.9433962
NC_012967,337452,339751	0.9652023	0.9704219
NC_012967,339752,342824	0.9817708	0.9348958
NC_012967,342835,342891	0.6428571	1.0000000
NC_012967,342904,345627	0.8861549	0.9823724
NC_012967,345633,347645	0.9498012	0.9005964
NC_012967,347647,349945	0.9242820	0.9064404
NC_012967,349946,350690	0.9758065	0.9327957
NC_012967,350697,353397	0.9888889	0.9448148
NC_012967,353888,356038	0.9288372	0.9139535
NC_012967,356047,356350	0.9834983	0.8514851
NC_012967,356351,356593	1.0000000	0.4710744
NC_012967,356600,362938	0.9812244	0.9668665
NC_012967,362941,365756	0.9850799	0.9154530
NC_012967,365761,369576	0.9496723	0.9572739
NC_012967,369582,370708	0.8703375	0.9191830
NC_012967,370717,371409	0.8713873	0.9595376
NC_012967,371430,371466	1.0000000	0.0000000
NC_012967,371470,372991	0.9546351	0.8974359
NC_012967,373002,373494	0.8760163	0.9085366
NC_012967,373496,373570	1.0000000	0.7297297
NC_012967,373574,373660	0.6162791	0.8372093
NC_012967,373666,373746	0.4500000	1.0000000
NC_012967,373748,376772	0.9619709	0.9841270
NC_012967,376801,376882	1.0000000	0.5555556
NC_012967,377400,378909	0.9741551	0.8899934
NC_012967,378911,381495	0.9287926	0.9543344
NC_012967,381510,382954	0.9418283	0.9286703
NC_012967,382961,386509	0.9239008	0.9608230
NC_012967,386524,388225	0.9488536	0.9312170
NC_012967,388226,388462	0.7288136	0.9661017
NC_012967,388463,388558	0.9052632	0.8631579
NC_012967,388562,388873	0.9581994	0.9003215
NC_012967,388880,388973	0.6451613	1.0000000
NC_012967,388975,393825	0.9387629	0.9612371
NC_012967,393827,402438	0.9628382	0.9565672
NC_012967,402439,402862	0.9196218	0.9550827
NC_012967,402867,402969	1.0000000	0.7058824
NC_012967,402972,404382	0.9517730	0.9567376
NC_012967,404385,405346	0.9469303	0.8428720
NC_012967,405359,405922	0.8952042	0.9982238
NC_012967,405928,406959	0.9194956	0.9534432
NC_012967,406965,408723	0.9573379	0.9340159
NC_012967,408725,409445	0.9500000	0.8833333
NC_012967,409449,409712	0.7718631	1.0000000
NC_012967,409721,410545	0.8847088	0.8580097
NC_012967,410556,411750	0.9313233	0.9723618
NC_012967,411755,414059	0.9774306	0.9583333
NC_012967,414065,416300	0.9288591	0.9668904
NC_012967,416303,423075	0.9750443	0.9784406
NC_012967,423079,424689	0.9745342	0.8987578
NC_012967,424698,427178	0.9661290	0.9657258
NC_012967,427183,429640	0.9531950	0.9682540
NC_012967,430686,432934	0.9461744	0.9506228
NC_012967,432953,433613	0.9257576	0.9681818
NC_012967,433617,437685	0.9665684	0.9611603
NC_012967,437706,448564	0.9398600	0.9729232
NC_012967,448571,455197	0.9415937	0.9769092
NC_012967,455200,461354	0.9624634	0.9714007
NC_012967,461357,464768	0.9586632	0.9334506
NC_012967,464782,467610	0.9413013	0.9490806
NC_012967,467618,468219	0.9700499	0.9650582
NC_012967,468227,468331	1.0000000	0.7500000
NC_012967,468338,468508	0.9941176	0.7176471
NC_012967,468525,475025	0.9323077	0.9430769
NC_012967,475054,476366	0.9504573	0.9230183
NC_012967,476370,478737	0.9378961	0.9712716
NC_012967,478740,480121	0.9196234	0.9529327
NC_012967,480122,482208	0.9578140	0.9050815
NC_012967,482210,482661	0.9733925	0.9268293
NC_012967,482662,482745	1.0000000	0.5903614
NC_012967,482747,483086	0.8525074	0.8997050
NC_012967,483088,484023	0.9165775	0.9454545
NC_012967,484024,484879	0.9625731	0.8935673
NC_012967,484881,485302	0.8931116	0.8859857
NC_012967,485338,486785	0.9378024	0.9502419
NC_012967,486788,487910	0.9429590	0.9581105
NC_012967,487919,489362	0.9792100	0.9563410
NC_012967,489370,489526	0.5833333	0.7884616
NC_012967,489529,492342	0.8634909	0.9321010
NC_012967,492356,494550	0.9357338	0.9348223
NC_012967,494551,494996	0.9078652	0.9820225
NC_012967,495000,495043	0.8372093	0.9534883
NC_012967,495049,495234	0.9189189	0.9135135
NC_012967,495236,495548	0.8846154	0.8685898
NC_012967,495565,495594	1.0000000	0.0000000
NC_012967,498174,498210	1.0000000	0.0000000
NC_012967,498303,498365	0.8870968	0.6612903
NC_012967,498369,498428	1.0000000	0.0000000
NC_012967,498435,498477	0.0000000	1.0000000
NC_012967,498803,498850	0.5319149	1.0000000
NC_012967,498864,499432	0.9119718	0.9436620
NC_012967,499433,502661	0.9557001	0.9399009
NC_012967,502669,503018	0.8767908	0.9283668
NC_012967,503037,503084	0.8085107	0.7659575
NC_012967,503088,503171	1.0000000	0.4337350
NC_012967,503184,506722	0.9516676	0.8745053
NC_012967,506723,508122	0.9177984	0.9206576
NC_012967,508134,511803	0.9280458	0.9446716
NC_012967,511813,514905	0.9039457	0.9456663
NC_012967,514916,515660	0.9838710	0.9166667
NC_012967,515663,518249	0.9713844	0.9563032
NC_012967,518272,520679	0.9123390	0.9405900
NC_012967,520686,521052	0.9754099	0.8087432
NC_012967,521053,521241	0.8882979	0.8936170
NC_012967,521242,523439	0.9076013	0.9526627
NC_012967,523443,525152	0.9801053	0.9315389
NC_012967,525162,525244	0.9146342	0.9878049
NC_012967,525268,529539	0.9367830	0.9611332
NC_012967,529549,529767	0.9449542	0.8165138
NC_012967,529769,530154	0.9558442	0.9818182
NC_012967,530155,532303	0.9427374	0.9543762
NC_012967,532310,543155	0.9580452	0.9662517
NC_012967,543157,547056	0.9389587	0.9463965
NC_012967,547560,550723	0.9617452	0.9734429
NC_012967,550735,551021	0.9685315	0.9790210
NC_012967,551026,551301	0.9127273	0.6981818
NC_012967,551311,551831	0.9730769	0.9211538
NC_012967,551839,553473	0.9381885	0.8837209
NC_012967,554546,554571	0.0000000	1.0000000
NC_012967,554574,556970	0.9403172	0.8935726
NC_012967,556978,562470	0.9604880	0.9495630
NC_012967,562478,564394	0.9556367	0.8596033
NC_012967,564400,564527	0.9448819	0.8503937
NC_012967,564528,569104	0.9656906	0.9586976
NC_012967,569106,569214	0.8333333	0.8425926
NC_012967,569225,569297	1.0000000	0.8194444
NC_012967,569300,571157	0.9159935	0.9746904
NC_012967,571163,571723	0.9625000	0.8821428
NC_012967,571734,571757	0.0000000	1.0000000
NC_012967,571762,571807	1.0000000	0.6888889
NC_012967,571808,571860	0.6923077	0.9230769
NC_012967,571865,572222	0.9047619	0.9803922
NC_012967,572241,572380	0.2589928	0.9712230
NC_012967,572393,572429	0.0000000	1.0000000
NC_012967,572454,572501	0.7659575	0.8297873
NC_012967,572509,572656	0.7482993	0.9455782
NC_012967,572708,572781	1.0000000	0.0000000
NC_012967,572874,572956	0.0000000	1.0000000
NC_012967,572992,573296	0.6348684	0.9539474
NC_012967,573330,573350	1.0000000	0.0000000
NC_012967,573357,574018	0.8305597	0.9470499
NC_012967,574023,575646	0.9716574	0.9858287
NC_012967,575656,575965	1.0000000	0.7896440
NC_012967,575972,577319	0.9250185	0.9153675
NC_012967,577323,577444	0.5950413	0.7520661
NC_012967,577453,579954	0.9600160	0.9512195
NC_012967,579964,581966	0.9505494	0.9005994
NC_012967,581969,582092	0.8943089	0.9105691
NC_012967,582095,587015	0.9459350	0.9701220
NC_012967,587019,588640	0.9290562	0.9765577
NC_012967,589395,589682	0.4355401	1.0000000
NC_012967,590209,590852	0.9502333	0.9595646
NC_012967,591932,592119	0.7165775	0.8983957
NC_012967,592124,593021	0.9855072	0.9542921
NC_012967,593026,593072	1.0000000	0.8260869
NC_012967,593081,593632	0.9237750	0.9092559
NC_012967,593638,594708	0.9626168	0.8495327
NC_012967,594712,594910	0.9444444	0.7979798
NC_012967,594913,595007	0.8829787	1.0000000
NC_012967,595021,595982	0.9677419	0.9354839
NC_012967,595992,596969	0.8638690	0.9273286
NC_012967,596991,597604	0.9592170	0.9168026
NC_012967,597606,597695	0.5280899	0.6516854
NC_012967,597710,599410	0.9476470	0.8911765
NC_012967,599428,601064	0.9810513	0.9394866
NC_012967,601071,602373	0.9078341	0.9961597
NC_012967,602386,602948	0.9964413	0.9822064
NC_012967,602949,603238	0.8823529	0.6574395
NC_012967,603240,604626	0.9285714	0.9011544
NC_012967,604632,606543	0.9497645	0.9471481
NC_012967,606548,606627	0.8860760	0.7848101
NC_012967,606673,610310	0.9565576	0.9304371
NC_012967,610314,611574	0.9500000	0.9412698
NC_012967,611578,612302	0.9337016	0.8674033
NC_012967,612313,613335	0.9579256	0.9227006
NC_012967,613345,613408	1.0000000	0.6190476
NC_012967,613413,613744	0.9637462	0.6918429
NC_012967,613751,613888	0.5255474	1.0000000
NC_012967,613900,615283	0.9457701	0.9486623
NC_012967,615309,615362	0.6037736	1.0000000
NC_012967,615374,615830	0.9298246	0.8355263
NC_012967,615858,615926	0.6323529	0.7941176
NC_012967,615934,617433	0.9526351	0.8972648
NC_012967,617441,617463	1.0000000	0.0000000
NC_012967,617469,619231	0.9597049	0.9693530
NC_012967,619783,619841	1.0000000	0.0000000
NC_012967,619844,625401	0.9496131	0.9703077
NC_012967,625431,627124	0.9681039	0.9568813
NC_012967,627128,628044	0.8973799	0.9148471
NC_012967,628049,628840	0.9898862	0.6927939
NC_012967,628852,629701	0.9717314	0.8810365
NC_012967,629705,631507	0.9778025	0.9517203
NC_012967,631511,631950	0.9430524	0.9726651
NC_012967,631953,632858	0.9359116	0.9348066
NC_012967,632860,634082	0.9672668	0.9549918
NC_012967,634084,634120	0.0000000	1.0000000
NC_012967,634701,638687	0.9583542	0.9407928
NC_012967,638689,639427	0.9742547	0.9783198
NC_012967,639429,639730	0.7375416	0.9867110
NC_012967,639744,641817	0.9541727	0.9561023
NC_012967,641837,645829	0.9787074	0.9609218
NC_012967,645841,647693	0.9346652	0.9179265
NC_012967,647700,649607	0.9522811	0.9695857
NC_012967,649614,649690	0.7500000	1.0000000
NC_012967,649700,664763	0.9516033	0.9528646
NC_012967,664770,664846	0.4736842	1.0000000
NC_012967,666016,666109	0.9892473	0.5161290
NC_012967,666111,666782	0.9329359	0.8837556
NC_012967,666815,667311	0.6834677	1.0000000
NC_012967,667313,672379	0.9782866	0.9569680
NC_012967,672402,673093	0.7901592	0.9623734
NC_012967,673106,674288	0.9357022	0.9382403
NC_012967,674289,676109	0.9406593	0.9681318
NC_012967,676113,677547	0.9567643	0.9511855
NC_012967,677572,678213	0.8751950	0.9781591
NC_012967,678226,678490	0.9204546	0.9810606
NC_012967,678498,679840	0.9530551	0.8830104
NC_012967,679844,683360	0.9630262	0.9311718
NC_012967,683363,684695	0.9091592	0.9654655
NC_012967,684697,690230	0.9300560	0.9683716
NC_012967,690231,694071	0.9388021	0.9192708
NC_012967,694078,696006	0.8983402	0.9787344
NC_012967,696009,703290	0.9587969	0.9332509
NC_012967,703291,703452	0.9316770	0.8198758
NC_012967,703458,704457	0.8548549	0.8208208
NC_012967,704460,704681	0.9547511	0.6018100
NC_012967,704691,706685	0.9187562	0.9232698
NC_012967,706697,708473	0.9622748	0.9020270
NC_012967,708483,708776	0.8122867	0.8771331
NC_012967,708783,710680	0.9652082	0.9356879
NC_012967,710692,711220	0.9034091	0.8806818
NC_012967,711229,711390	0.5031056	0.9378882
NC_012967,711401,711456	0.6000000	1.0000000
NC_012967,711457,711491	0.8235294	0.8823529
NC_012967,711521,711601	0.9375000	0.9125000
NC_012967,711607,711691	0.9523810	1.0000000
NC_012967,711702,711765	1.0000000	0.5714286
NC_012967,711770,711806	1.0000000	0.0000000
NC_012967,711815,711865	0.7200000	0.5000000
NC_012967,711881,712076	0.6153846	0.9384615
NC_012967,712371,712407	0.0000000	1.0000000
NC_012967,712484,712538	0.0000000	1.0000000
NC_012967,712576,713213	0.9089482	0.8069074
NC_012967,713221,713823	0.9318937	0.8936877
NC_012967,713825,713920	1.0000000	0.7578948
NC_012967,713939,714118	1.0000000	0.6648045
NC_012967,714122,714457	0.9671642	0.7492537
NC_012967,714471,714507	1.0000000	0.0000000
NC_012967,714535,714573	0.7105263	0.9473684
NC_012967,714593,714769	0.8295454	0.6136364
NC_012967,714784,717190	0.9538653	0.9700748
NC_012967,717213,717252	0.9230769	0.9230769
NC_012967,717260,717296	0.0000000	1.0000000
NC_012967,717305,717984	0.9852725	0.8424153
NC_012967,717986,718031	1.0000000	0.0000000
NC_012967,718093,718452	0.9610028	0.8607242
NC_012967,718459,718995	0.8750000	0.8992537
NC_012967,719006,720817	0.9569299	0.9083380
NC_012967,720819,724172	0.9272293	0.9495974
NC_012967,724181,724798	0.9076175	0.9837925
NC_012967,724803,725187	0.9505208	0.9531250
NC_012967,725196,725295	0.8787879	0.9090909
NC_012967,725300,734356	0.9617933	0.9432421
NC_012967,734357,737090	0.9498720	0.9476765
NC_012967,737092,739352	0.9433628	0.9221239
NC_012967,739361,740873	0.9847884	0.9173281
NC_012967,740898,742429	0.9823645	0.9503592
NC_012967,742436,746343	0.9465063	0.9846429
NC_012967,746344,746438	0.9893617	0.6702127
NC_012967,746439,746500	0.8852459	0.8852459
NC_012967,746501,747168	0.9760120	0.9445277
NC_012967,747172,747654	0.9688796	0.9190871
NC_012967,747661,747811	0.9800000	0.8733333
NC_012967,747836,747915	1.0000000	0.0000000
NC_012967,747954,748531	0.8682842	0.9601386
NC_012967,748542,751112	0.9000000	0.9883268
NC_012967,751138,753875	0.9240044	0.9386189
NC_012967,753885,755429	0.9727979	0.9682642
NC_012967,755436,761896	0.9602167	0.9487616
NC_012967,761901,762928	0.8987342	1.0000000
NC_012967,762935,762986	0.0000000	1.0000000
NC_012967,762990,767494	0.9660302	0.9618117
NC_012967,767497,768818	0.9795609	0.9485238
NC_012967,768823,772336	0.9527469	0.9541702
NC_012967,772344,775528	0.9532035	0.9846106
NC_012967,775533,776718	0.9535865	0.9265823
NC_012967,776725,776809	1.0000000	0.2976190
NC_012967,776811,777039	0.8508772	0.9692982
NC_012967,777041,781179	0.9601257	0.9422426
NC_012967,781198,783842	0.9750378	0.9655824
NC_012967,783843,784442	0.8430718	0.9682805
NC_012967,784446,784482	1.0000000	0.6111111
NC_012967,784483,785470	0.9361702	0.9614995
NC_012967,785471,790109	0.9476067	0.9799483
NC_012967,790111,791018	1.0000000	0.9140022
NC_012967,791026,794058	0.9317282	0.9841689
NC_012967,794059,794303	0.9631147	0.8155738
NC_012967,794324,794816	0.8313008	0.9004065
NC_012967,794836,799034	0.9406860	0.9437827
NC_012967,799035,799592	0.9389587	0.9838420
NC_012967,799604,800792	0.9612795	0.9781145
NC_012967,800811,801463	0.9401841	0.9386503
NC_012967,801468,802845	0.9665940	0.8772694
NC_012967,802863,803115	0.8888889	0.7301587
NC_012967,803119,803157	0.0000000	1.0000000
NC_012967,803163,803220	0.8245614	0.6315789
NC_012967,803228,805666	0.9294504	0.8884332
NC_012967,805682,808363	0.8817605	0.9858262
NC_012967,808366,812314	0.9759372	0.9516211
NC_012967,812320,815514	0.9746400	0.9752661
NC_012967,815516,815571	0.8181818	0.9272727
NC_012967,815573,815685	0.9375000	0.9107143
NC_012967,815701,819135	0.9403028	0.9239953
NC_012967,819139,819538	0.9147870	0.9047619
NC_012967,819541,821173	0.9301471	0.9479167
NC_012967,821174,822222	0.9990458	0.9446565
NC_012967,822234,822534	0.7700000	0.9200000
NC_012967,822535,823253	0.9401114	0.9860724
NC_012967,823258,824529	0.9126672	0.9441385
NC_012967,824531,824585	0.6666667	0.9814815
NC_012967,824592,824642	0.7200000	1.0000000
NC_012967,824645,824691	0.8695652	1.0000000
NC_012967,824693,829606	0.9362915	0.9460615
NC_012967,829609,829739	1.0000000	0.8615385
NC_012967,829751,829952	0.9950249	0.7860696
NC_012967,829956,830036	0.7375000	1.0000000
NC_012967,830047,830460	0.8474576	0.9322034
NC_012967,830463,832507	0.9584149	0.8615460
NC_012967,832532,832599	0.4179105	0.9402985
NC_012967,832601,832637	0.0000000	1.0000000
NC_012967,832638,833328	0.9188406	0.9840580
NC_012967,833330,833427	1.0000000	0.7216495
NC_012967,833458,833593	1.0000000	0.8148148
NC_012967,833594,834981	0.9005047	0.9841384
NC_012967,834983,835397	0.9710145	0.8357488
NC_012967,835423,836285	0.9106728	0.9617169
NC_012967,836292,836457	0.9151515	0.8121212
NC_012967,836463,836796	0.8408408	0.9129129
NC_012967,836798,837841	0.9693193	0.9654842
NC_012967,837845,841091	0.9433149	0.9701171
NC_012967,841096,842382	0.9821151	0.9206843
NC_012967,842390,848757	0.9579080	0.9506832
NC_012967,848764,849672	0.9823788	0.9317181
NC_012967,849686,850972	0.9797823	0.8942457
NC_012967,850994,851156	0.4753087	0.9753087
NC_012967,851173,851256	0.4939759	1.0000000
NC_012967,851259,851295	0.0000000	1.0000000
NC_012967,851306,851414	0.7037037	0.7592593
NC_012967,851425,851664	0.9958159	0.8158996
NC_012967,851680,852698	0.9597250	0.9734774
NC_012967,852704,855283	0.9557968	0.9600620
NC_012967,855289,855875	0.9180887	0.9453925
NC_012967,855890,856282	0.9464286	0.9948980
NC_012967,856287,858190	0.9006831	0.9159222
NC_012967,858194,863307	0.9487581	0.9591238
NC_012967,863312,863703	0.9974425	0.7570332
NC_012967,863705,863863	0.9620253	0.8164557
NC_012967,863874,864076	0.9752475	0.9801980
NC_012967,864090,864567	0.9832285	0.9727463
NC_012967,864572,867573	0.9600133	0.9313562
NC_012967,867604,867660	0.7321429	0.6428571
NC_012967,867680,867778	0.9285714	0.9489796
NC_012967,867781,868411	0.9761904	0.9888889
NC_012967,868414,869360	0.9915434	0.9090909
NC_012967,869368,871863	0.9410822	0.9503006
NC_012967,871872,874793	0.9493324	0.9520712
NC_012967,874799,875884	0.9373272	0.9539170
NC_012967,875885,878449	0.9664587	0.9091263
NC_012967,878461,878935	0.9388186	0.8544304
NC_012967,878947,879065	0.9745763	0.9237288
NC_012967,879069,881297	0.9569120	0.9434471
NC_012967,881298,882638	0.9597015	0.9828358
NC_012967,882639,882772	0.9172933	0.9849624
NC_012967,882775,884689	0.9247649	1.0000000
NC_012967,884692,884736	0.8181818	0.9772727
NC_012967,884737,885014	0.8953069	0.9025271
NC_012967,885016,885742	0.9696970	0.9683195
NC_012967,885746,886071	0.9169231	0.9169231
NC_012967,886074,890011	0.9723139	0.9822200
NC_012967,890018,890419	0.9301746	0.9127182
NC_012967,890422,894509	0.9610962	0.9647663
NC_012967,894544,895833	0.9433669	0.9604344
NC_012967,895835,896463	0.9729300	0.9601911
NC_012967,896465,896824	0.9331476	1.0000000
NC_012967,896831,897937	0.9755877	0.9566004
NC_012967,897950,898110	0.9500000	0.9562500
NC_012967,898116,898702	0.9607509	0.9249147
NC_012967,898714,899603	0.9842520	0.8076490
NC_012967,899609,900406	0.8682560	0.9259724
NC_012967,900420,900511	1.0000000	0.6923077
NC_012967,900513,902062	0.9470626	0.9386701
NC_012967,902076,903959	0.9463622	0.9447690
NC_012967,903963,908792	0.9627252	0.9465728
NC_012967,908801,908837	0.0000000	1.0000000
NC_012967,908842,908898	0.6428571	1.0000000
NC_012967,908901,914785	0.9264106	0.9532631
NC_012967,914791,914962	0.8947368	0.8596491
NC_012967,914968,915305	0.9940653	0.8931751
NC_012967,915309,916019	0.9563380	0.8295774
NC_012967,916024,916130	0.6320755	1.0000000
NC_012967,916144,918487	0.9692702	0.9432352
NC_012967,918516,921745	0.9560235	0.9266027
NC_012967,921754,922266	0.9375000	0.8437500
NC_012967,922270,923367	0.9744759	0.9398359
NC_012967,923389,923506	0.9401709	0.8717949
NC_012967,923513,923675	0.9567901	0.9629630
NC_012967,923677,923851	0.9137931	0.9540230
NC_012967,923855,925391	0.9466146	0.9485677
NC_012967,925419,925927	0.9606299	0.8858268
NC_012967,925931,927617	0.9679715	0.9145908
NC_012967,927635,928112	0.9371069	0.9203354
NC_012967,928131,928249	0.9745763	0.6779661
NC_012967,928252,930932	0.9175373	0.9511194
NC_012967,930942,931864	0.9598699	0.9533622
